Outreach ID,Company ID,Company ,Visit Date,Notes,Outcome,Stage,Status,Next Visit Date,Days Since Last Visit,Next Visit Countdown,Outcome Category,Follow Up Action,Owner,Prospects Match,Contact Type,Email Sent,Competitor
LID-0045,CID-SMI103,Smi Buildings,02/05/2026,They do not produce any scrap metal. They are just a sales lot.,Disqualified,Lost,Disqualified,02/05/2026,4,-4,Disqualified,Check periodic,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0051,CID-TYL140,Tyler HVAC Systems,02/05/2026,Talk to a guy and he was not so much interested in a rolloff container but he has about 500 pounds of copper number two and about 2000 pounds of aluminum copper reefers and a bunch of old units and that he’s wanting to get rid of and so I got with Cori and got him his pricing to him and he said that he would be taking it up there within the next couple of days,Account Won,Won,Active,02/06/2026,4,-3,Account Won,Onboard Account,Kyle Buzbee,FALSE,Visit,FALSE,None
LID-0042,CID-ZMA101,Zman Carports,02/05/2026,talked to the receptionist/office assistant and they currently do not use anyone and have their scrap metal just laying on the ground. They are having to go to the scrapyard sometimes two times a week because they have eight Cruz right now. She seemed very interested and her boss was out of the office so I got his card and I plan on emailing him and or calling him later today. Zmancarports@gmail.com 9038332323,Interested (Warm),Nurture,Interested (Warm),02/19/2026,4,10,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0043,CID-BIG104,Big Tex Metal Buildings,02/05/2026,"Spoke to the manager, and he said that they do not produce very much scrap, but that I could check out their manufacturer in van, but he’s not sure how much scrap they produce either",Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0046,CID-C2101,C2,02/05/2026,"He has scrap metal as he works on quite a few big trucks 18 wheelers right now they have a couple bins with Tyler Iron but they haven’t heard from them and he currently has a guy who comes and picks it up, but he is trying to clean up his shop and has quite a bit of scrap that he’s wanting to get rid of. He said that he would call me in a couple weeks once he gets to that point.",Interested (Warm),Nurture,Interested (Warm),02/19/2026,4,10,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0047,CID-KAW101,Kawasaki,02/05/2026,Talk to Samantha the manager and she said that they give their scrap metal to a guy for free to help him out and that is just what they have done for quite a while now and they’re not interested in switching it up. I gave her my card and let her know if she ever wanted to to get paid and switch it up a little bit then to give me a call and we can get a rolloff container out there.,Initial Contact,Outreach,Interested (Warm),03/07/2026,4,26,Initial Contact,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0048,CID-CRI101,Cri Supply,02/05/2026,Spoke to the owner and he showed me his pile of scrap. He doesn’t have much but he also has a yard in van has a bunch of old rusted pipe that he needs to get rid of. He also works with a lot of customers who do metal buildings and roofs and so I gave him a stack of my cards and let him know that if he referred us to other builders than we would work together and get him a little bit better price. His dad also builds about 6 to 8 houses a year and would love to have a rolloff for his job sites so he’s going to pass my information along and hopefully generate some business.,Interested (Warm),Nurture,Interested (Warm),02/19/2026,4,10,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0049,CID-INF103,Infinity Carports,02/05/2026,Spoke to the receptionist and her boss was out for the day at a job site. They currently use Falcon and she took my card and said that she he will give me a call tomorrow.,Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0050,CID-NAT104,National Metal Buildings,02/05/2026,Spoke to the receptionist and she had talked to her boss and he wasn’t in the office so she had given me his number at and his name is Omar at 903-840-6484 so I will give him a call tomorrow and just go from there,Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0052,CID-TEX131,Texas Specialty Steel East,02/05/2026,I was able to speak to the owner and he told me that they currently don’t use anyone and he just kind of takes it to the scrapyard himself. He said that he would definitely keep me in mind and would let me know what he decides he wants done. I don’t really know exactly how much he produces but I think he is more of a wholesaler so in terms of having scrap metal it’s not very much.,Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0042,CID-ZMA101,Zman Carports,02/05/2026,talked to the receptionist/office assistant and they currently do not use anyone and have their scrap metal just laying on the ground. They are having to go to the scrapyard sometimes two times a week because they have eight Cruz right now. She seemed very interested and her boss was out of the office so I got his card and I plan on emailing him and or calling him later today. Zmancarports@gmail.com 9038332323,Interested (Warm),Nurture,Interested (Warm),02/19/2026,4,10,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0043,CID-BIG104,Big Tex Metal Buildings,02/05/2026,"Spoke to the manager, and he said that they do not produce very much scrap, but that I could check out their manufacturer in van, but he’s not sure how much scrap they produce either",Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0046,CID-C2101,C2,02/05/2026,"He has scrap metal as he works on quite a few big trucks 18 wheelers right now they have a couple bins with Tyler Iron but they haven’t heard from them and he currently has a guy who comes and picks it up, but he is trying to clean up his shop and has quite a bit of scrap that he’s wanting to get rid of. He said that he would call me in a couple weeks once he gets to that point.",Interested (Warm),Nurture,Interested (Warm),02/19/2026,4,10,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0047,CID-KAW101,Kawasaki,02/05/2026,Talk to Samantha the manager and she said that they give their scrap metal to a guy for free to help him out and that is just what they have done for quite a while now and they’re not interested in switching it up. I gave her my card and let her know if she ever wanted to to get paid and switch it up a little bit then to give me a call and we can get a rolloff container out there.,Initial Contact,Outreach,Interested (Warm),03/07/2026,4,26,Initial Contact,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0048,CID-CRI101,Cri Supply,02/05/2026,Spoke to the owner and he showed me his pile of scrap. He doesn’t have much but he also has a yard in van has a bunch of old rusted pipe that he needs to get rid of. He also works with a lot of customers who do metal buildings and roofs and so I gave him a stack of my cards and let him know that if he referred us to other builders than we would work together and get him a little bit better price. His dad also builds about 6 to 8 houses a year and would love to have a rolloff for his job sites so he’s going to pass my information along and hopefully generate some business.,Interested (Warm),Nurture,Interested (Warm),02/19/2026,4,10,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0049,CID-INF103,Infinity Carports,02/05/2026,Spoke to the receptionist and her boss was out for the day at a job site. They currently use Falcon and she took my card and said that she he will give me a call tomorrow.,Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0050,CID-NAT104,National Metal Buildings,02/05/2026,Spoke to the receptionist and she had talked to her boss and he wasn’t in the office so she had given me his number at and his name is Omar at 903-840-6484 so I will give him a call tomorrow and just go from there,Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0052,CID-TEX131,Texas Specialty Steel East,02/05/2026,I was able to speak to the owner and he told me that they currently don’t use anyone and he just kind of takes it to the scrapyard himself. He said that he would definitely keep me in mind and would let me know what he decides he wants done. I don’t really know exactly how much he produces but I think he is more of a wholesaler so in terms of having scrap metal it’s not very much.,Follow-Up,Nurture,Interested (Warm),02/19/2026,4,10,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0053,CID-CAL117,Calibur Collision,02/04/2026,"Was not able to speak to anyone who could do anything, but I did get his card and so I will send them an email today.",Not Interested,Lost,Disqualified,08/03/2026,5,175,Not Interested,Send pricing,Kyle Buzbee,FALSE,Visit,FALSE,None
LID-0057,CID-BAR104,Barbin Fence,02/04/2026,Only has enough scrap to fill a trailer and take it to the scrap yard about twice a year so I have disqualified them as a prospect.,Disqualified,Lost,Disqualified,02/04/2026,5,-5,Disqualified,Check periodic,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0058,CID-CHA112,Champion Fence,02/04/2026,Reached out via email letting them know that I am interested in buying their metal. They are currently with Athens Iron and Metal so we will see.,Disqualified,Lost,Disqualified,02/04/2026,5,-5,Disqualified,Check periodic,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0055,CID-COX101,Cox Construction,02/04/2026,"Spoke to Joey and because Waskom is about 70 miles from Madfos, Corey told me to charge a $125 dump fee. He said that it was fine and so we will get it delivered as soon as one is available.",Account Won,Won,Active,02/05/2026,5,-4,Account Won,Onboard Account,Kyle Buzbee,FALSE,Visit,FALSE,None
LID-0059,CID-GLE103,Glenwood Blind Awning,02/04/2026,"Visited him this morning and won the account and he is wanting a 30 yard container, but might switch to a 20 yard container if needed. Pricing is as follows: ""AL 5052: $1.50 (Clean) / $1.40 (Painted)
AL 6063: $1.10 (Clean) / $1.00 (Painted)
Siding: $0.68 | Break: $0.10""",Account Won,Won,Active,02/05/2026,5,-4,Account Won,Onboard Account,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0054,CID-JOE101,Joe Hudson,02/04/2026,They are being bought out by Gerber and are going to let me know once everything is finalized if they want to continue doing what they have been doing or switch to something new,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0056,CID-TDI102,Tdi Air Condition,02/04/2026,"Talked to the receptionist and was not able to talk to a manager or anything because they were all on service calls, but I did get his card so I will send him an email first thing in the morning.",Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0060,CID-DEA103,Dealers Collision,02/04/2026,Sent Dealer's Collision an email touching base about my interest in getting them a roll-off container.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0061,CID-ONE114,Oneten Welding,02/04/2026,Sent One-Ten Welding an email to see if he had a chance to look at the agreement I gave him.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0062,CID-RUB102,Rubadub Plumbing,02/04/2026,Sent Ashley an email letting her know that we can drop off a container at one of their project sites since the last time I talked to her she said that they had several big jobs coming up.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0063,CID-HOL102,Holliday Sheet Metal,02/04/2026,Sent him an email even though he rushed m out the last time I was there and did not respond to my previous email. I am hoping to get a response because they do produce a fair amount of scrap metal.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0054,CID-JOE101,Joe Hudson,02/04/2026,They are being bought out by Gerber and are going to let me know once everything is finalized if they want to continue doing what they have been doing or switch to something new,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0056,CID-TDI102,Tdi Air Condition,02/04/2026,"Talked to the receptionist and was not able to talk to a manager or anything because they were all on service calls, but I did get his card so I will send him an email first thing in the morning.",Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0060,CID-DEA103,Dealers Collision,02/04/2026,Sent Dealer's Collision an email touching base about my interest in getting them a roll-off container.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0061,CID-ONE114,Oneten Welding,02/04/2026,Sent One-Ten Welding an email to see if he had a chance to look at the agreement I gave him.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0062,CID-RUB102,Rubadub Plumbing,02/04/2026,Sent Ashley an email letting her know that we can drop off a container at one of their project sites since the last time I talked to her she said that they had several big jobs coming up.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0063,CID-HOL102,Holliday Sheet Metal,02/04/2026,Sent him an email even though he rushed m out the last time I was there and did not respond to my previous email. I am hoping to get a response because they do produce a fair amount of scrap metal.,Follow-Up,Nurture,Interested (Warm),02/18/2026,5,9,Follow-Up,General follow,Kyle Buzbee,TRUE,Email,FALSE,None
LID-0066,CID-COX101,Cox Construction,02/03/2026,"Corey had sent me his number from a truck her saw and I gve him a call and he wants a 30-yard roll-off container. He is in the middle of moving to an actual yard for his business, so he will probably need another one once that has finalized.",Account Won,Won,Active,02/04/2026,3,-2,Won,Onboard Account,Kyle Buzbee,FALSE,Phone,FALSE,None
LID-0070,CID-AUT166,Auto Express,02/03/2026,"This is a won account, but they had called see when they could get their container and it looks like we are about 2 weeks out with 20 yard containers. They already have a pile they are wanting to put in there.",Account Won,Won,Active,02/17/2026,3,11,Won,Onboard Account,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-0074,CID-COX101,Cox Construction,02/03/2026,"Corey had sent me his number from a truck her saw and I gve him a call and he wants a 30-yard roll-off container. He is in the middle of moving to an actual yard for his business, so he will probably need another one once that has finalized.",Account Won,Won,Active,02/04/2026,3,-2,Won,Onboard Account,Kyle Buzbee,FALSE,Phone,FALSE,None
LID-0078,CID-AUT166,Auto Express,02/03/2026,"This is a won account, but they had called see when they could get their container and it looks like we are about 2 weeks out with 20 yard containers. They already have a pile they are wanting to put in there.",Account Won,Won,Active,02/17/2026,3,11,Won,Onboard Account,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-0065,CID-LUM163,Lumley Roofing,02/03/2026,"Messaged the owner of Lumley Roofing, who had just recently bought out Brothers That Do Gutters, and he said that it isn't finalized just yet, but as soon as it is, then he would give me a call and use us for their roll-offs.",Interested (Hot),Nurture,Interested (Hot),02/10/2026,3,4,Nurture,Send pricing,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-0073,CID-LUM163,Lumley Roofing,02/03/2026,"Messaged the owner of Lumley Roofing, who had just recently bought out Brothers That Do Gutters, and he said that it isn't finalized just yet, but as soon as it is, then he would give me a call and use us for their roll-offs.",Interested (Hot),Nurture,Interested (Hot),02/10/2026,3,4,Nurture,Send pricing,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-0064,CID-LUM163,Lumley Roofing,02/03/2026,"Messaged the owner of Lumley Roofing, who had just recently bought out Brothers That Do Gutters, and he said that it isn't finalized just yet, but as soon as it is, then he would give me a call and use us for their roll-offs.",Interested (Warm),Nurture,Interested (Warm),02/17/2026,6,8,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0067,CID-DGI102,Dgi,02/03/2026,"Stopped by, but Erik was not there, so I sent him an email letting him know our current prices.",Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,TRUE,None
LID-0068,CID-TYL139,Tyler Building Systems,02/03/2026,Left my card with the manager and he said he would let me know whenever he talks to the owner,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0069,CID-LIL101,Lilly Machinery,02/03/2026,"They are still happy with AIM and have no desire to switch, so I will have to check back in every so often.",Follow-Up,Nurture,Interested (Warm),05/04/2026,3,87,Nurture,Has Vendor→Follow 90d,Kyle Buzbee,TRUE,Visit,FALSE,AIM
LID-0071,CID-AUT167,Auto Parts Warehouse,02/03/2026,Sent an email to the owner letting him know that I was interested in buying his metal. I am still waiting to hear back.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Email,TRUE,None
LID-0072,CID-DAI101,Daiken Comfort,02/03/2026,Sent an email listing our prices to the manager so he can get a comparison together to send to corporate so they can see how much he is being taken advantage of. The process of them having to wrap up their metal and then pay $2500 to ship it is almost becoming an expense to him. But I think the only way for him to switch would be for us provide a box that is covered and secure so people do not steal the metal out of it.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,See Notes,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-0075,CID-DGI102,Dgi,02/03/2026,"Stopped by, but Erik was not there, so I sent him an email letting him know our current prices.",Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,TRUE,None
LID-0076,CID-TYL139,Tyler Building Systems,02/03/2026,Left my card with the manager and he said he would let me know whenever he talks to the owner,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0077,CID-LIL101,Lilly Machinery,02/03/2026,"They are still happy with AIM and have no desire to switch, so I will have to check back in every so often.",Follow-Up,Nurture,Interested (Warm),05/04/2026,3,87,Nurture,Has Vendorâ†’Follow 90d,Kyle Buzbee,TRUE,Visit,FALSE,AIM
LID-0079,CID-AUT167,Auto Parts Warehouse,02/03/2026,Sent an email to the owner letting him know that I was interested in buying his metal. I am still waiting to hear back.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Email,TRUE,None
LID-0080,CID-DAI101,Daiken Comfort,02/03/2026,Sent an email listing our prices to the manager so he can get a comparison together to send to corporate so they can see how much he is being taken advantage of. The process of them having to wrap up their metal and then pay $2500 to ship it is almost becoming an expense to him. But I think the only way for him to switch would be for us provide a box that is covered and secure so people do not steal the metal out of it.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,See Notes,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-0065,CID-LUM163,Lumley Roofing,02/03/2026,"Messaged the owner of Lumley Roofing, who had just recently bought out Brothers That Do Gutters, and he said that it isn't finalized just yet, but as soon as it is, then he would give me a call and use us for their roll-offs.",Interested (Hot),Nurture,Interested (Hot),02/10/2026,3,4,Nurture,Send pricing,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-0073,CID-LUM163,Lumley Roofing,02/03/2026,"Messaged the owner of Lumley Roofing, who had just recently bought out Brothers That Do Gutters, and he said that it isn't finalized just yet, but as soon as it is, then he would give me a call and use us for their roll-offs.",Interested (Hot),Nurture,Interested (Hot),02/10/2026,3,4,Nurture,Send pricing,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-0064,CID-LUM163,Lumley Roofing,02/03/2026,"Messaged the owner of Lumley Roofing, who had just recently bought out Brothers That Do Gutters, and he said that it isn't finalized just yet, but as soon as it is, then he would give me a call and use us for their roll-offs.",Interested (Warm),Nurture,Interested (Warm),02/17/2026,6,8,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0067,CID-DGI102,Dgi,02/03/2026,"Stopped by, but Erik was not there, so I sent him an email letting him know our current prices.",Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,TRUE,None
LID-0068,CID-TYL139,Tyler Building Systems,02/03/2026,Left my card with the manager and he said he would let me know whenever he talks to the owner,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0069,CID-LIL101,Lilly Machinery,02/03/2026,"They are still happy with AIM and have no desire to switch, so I will have to check back in every so often.",Follow-Up,Nurture,Interested (Warm),05/04/2026,3,87,Nurture,Has Vendor→Follow 90d,Kyle Buzbee,TRUE,Visit,FALSE,AIM
LID-0071,CID-AUT167,Auto Parts Warehouse,02/03/2026,Sent an email to the owner letting him know that I was interested in buying his metal. I am still waiting to hear back.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Email,TRUE,None
LID-0072,CID-DAI101,Daiken Comfort,02/03/2026,Sent an email listing our prices to the manager so he can get a comparison together to send to corporate so they can see how much he is being taken advantage of. The process of them having to wrap up their metal and then pay $2500 to ship it is almost becoming an expense to him. But I think the only way for him to switch would be for us provide a box that is covered and secure so people do not steal the metal out of it.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,See Notes,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-0075,CID-DGI102,Dgi,02/03/2026,"Stopped by, but Erik was not there, so I sent him an email letting him know our current prices.",Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,TRUE,None
LID-0076,CID-TYL139,Tyler Building Systems,02/03/2026,Left my card with the manager and he said he would let me know whenever he talks to the owner,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0077,CID-LIL101,Lilly Machinery,02/03/2026,"They are still happy with AIM and have no desire to switch, so I will have to check back in every so often.",Follow-Up,Nurture,Interested (Warm),05/04/2026,3,87,Nurture,Has Vendorâ†’Follow 90d,Kyle Buzbee,TRUE,Visit,FALSE,AIM
LID-0079,CID-AUT167,Auto Parts Warehouse,02/03/2026,Sent an email to the owner letting him know that I was interested in buying his metal. I am still waiting to hear back.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,General follow,Kyle Buzbee,TRUE,Email,TRUE,None
LID-0080,CID-DAI101,Daiken Comfort,02/03/2026,Sent an email listing our prices to the manager so he can get a comparison together to send to corporate so they can see how much he is being taken advantage of. The process of them having to wrap up their metal and then pay $2500 to ship it is almost becoming an expense to him. But I think the only way for him to switch would be for us provide a box that is covered and secure so people do not steal the metal out of it.,Follow-Up,Nurture,Interested (Warm),02/17/2026,3,11,Nurture,See Notes,Kyle Buzbee,TRUE,Email,TRUE,Other
LID-0084,CID-EAS104,East Texas Containers,02/02/2026,Does not deal with any scrap metal.,Disqualified,Lost,Disqualified,02/02/2026,7,-7,Disqualified,Check periodic,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0087,CID-CAT104,Cates Machine Shop,02/02/2026,"Their door was locked, so I was not able to talk to anyone. I will try and send an email and reach out because they currently use Tyler Iron and Metal",No Answer,Outreach,Cold,02/05/2026,7,-4,No Answer,Try again,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0081,CID-GLE103,Glenwood Blind Awning,02/02/2026,Account won for a 30 yard roll off container,Interested (Warm),Nurture,Interested (Warm),02/16/2026,7,7,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0083,CID-PRE108,Premier Auto Repair,02/02/2026,Sent the owner an email explaining who we are and our process for a roll-off container since he currently takes their scrap metal himself.,Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0085,CID-STR145,Striping Technology,02/02/2026,Talked to the office assistant Yessy and she gave me the contact information for their HR of safety and management. I sent Adam an email explaining who we are and how we could mutually benefit from buying their scrap metal.,Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0086,CID-DSS101,Dss Cat,02/02/2026,Talked to their manager and they have 2 30yd bins with AIM and are happy with their service. The employees do not benefit from the money generated from the scrap so they are not very concerned about it regarding price and/or service.,Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0088,CID-SAW101,Sawyer Metal,02/02/2026,"Talked to their construction manager, Jack Branch, and he said that they primarily take it themselves. because it is not very much. He said he would check out Madfos the next time they take their scrap",Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0089,CID-DAI101,Daiken Comfort,02/02/2026,Revisited them and talk to Dwayne about us buying their scrap. Dwayne said he would be all in if there was a way to secure the container and keep people from stealing the metal. If I cannot find a way to provide them with a secure way for them to recycle their metal then I do not think I will be able to get the account.,Interested (Warm),Nurture,Interested (Warm),02/16/2026,7,7,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0090,CID-STA115,Stainless Steel Fabrication,02/02/2026,"Went and check the quality of metal for their stainless steel and emailed a quote with the prices we can offer. They are currently using Tyler Iron and I don't know what they are currently being paid, but I am just waiting to hear back.",Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0081,CID-GLE103,Glenwood Blind Awning,02/02/2026,Account won for a 30 yard roll off container,Interested (Warm),Nurture,Interested (Warm),02/16/2026,7,7,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0083,CID-PRE108,Premier Auto Repair,02/02/2026,Sent the owner an email explaining who we are and our process for a roll-off container since he currently takes their scrap metal himself.,Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0085,CID-STR145,Striping Technology,02/02/2026,Talked to the office assistant Yessy and she gave me the contact information for their HR of safety and management. I sent Adam an email explaining who we are and how we could mutually benefit from buying their scrap metal.,Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0086,CID-DSS101,Dss Cat,02/02/2026,Talked to their manager and they have 2 30yd bins with AIM and are happy with their service. The employees do not benefit from the money generated from the scrap so they are not very concerned about it regarding price and/or service.,Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0088,CID-SAW101,Sawyer Metal,02/02/2026,"Talked to their construction manager, Jack Branch, and he said that they primarily take it themselves. because it is not very much. He said he would check out Madfos the next time they take their scrap",Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0089,CID-DAI101,Daiken Comfort,02/02/2026,Revisited them and talk to Dwayne about us buying their scrap. Dwayne said he would be all in if there was a way to secure the container and keep people from stealing the metal. If I cannot find a way to provide them with a secure way for them to recycle their metal then I do not think I will be able to get the account.,Interested (Warm),Nurture,Interested (Warm),02/16/2026,7,7,Interested (Warm),Send pricing,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0090,CID-STA115,Stainless Steel Fabrication,02/02/2026,"Went and check the quality of metal for their stainless steel and emailed a quote with the prices we can offer. They are currently using Tyler Iron and I don't know what they are currently being paid, but I am just waiting to hear back.",Follow-Up,Nurture,Interested (Warm),02/16/2026,7,7,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-0091,CID-ROQ101,Roquemores,01/30/2026,Do not acquire any scrap metal.,Disqualified,Lost,Disqualified,01/30/2026,10,-10,Disqualified,Check periodic,Kyle Buzbee,FALSE,Visit,FALSE,None
LID-0092,CID-COD102,Cody Dodd Heating and Air,01/30/2026,They currently let one of their guys who works there take their scrap metal and don't want to change things up. I told him to take it to Madfos and to give me a call when he does so I can get him better pricing.,Not Interested,Lost,Disqualified,07/29/2026,10,170,Not Interested,Send pricing,Kyle Buzbee,FALSE,Visit,FALSE,None
LID-0093,CID-GLE105,Glenwood Blind and Awning,01/30/2026,"Spoke to the manager and she said that they typically do not generate much scrap metal anymore, and if they do it is typically aluminum painted siding or a painted 5052. She wrote down some pricing and said she would give it to the owner and let me know",Follow-Up,Nurture,Interested (Warm),02/13/2026,10,4,Follow-Up,General follow,Kyle Buzbee,TRUE,Visit,FALSE,None
